template_id,canonical_signature,kind,family,tau,pressure,num_obligations,contained_atom_count,contained_atoms
T_0001,2a430e490927cc5e285900db0baf1ee232b04da5,proto,rail_ladder,4,2,4,0,[]
T_0002,9c1e6f2a3a0dd688a13d567d94dc42d0d49f7150,proto,adjacent,4,2,4,0,[]
T_0003,7535cc79660de82b75a14f294925c232737a7a4e,proto,rail_ladder,3,1,3,0,[]
T_0078,00a30e695aa5483600aa4e0055d1f568fd752370,proto,kink_bridge,15,13,15,0,[]
T_0050,87ace0e6ea2e7a5e10fd27521d22f446c6ca543e,proto,kink_bridge,14,12,14,0,[]
T_0074,06bc68f756ab02f1a93133496fbe532202852b59,proto,kink_bridge,14,12,14,0,[]
T_0070,db84e1589f91eb9d505009ae1390ebc366f62780,proto,kink_bridge,12,10,12,0,[]
T_0076,9f4212132dadfba18a80565709fbdaffe27cb163,proto,rail_ladder,12,10,12,0,[]
T_0044,72029f15fc36e45d0ebac64ba54c3737ce6f11c9,proto,kink_bridge,11,9,11,0,[]
T_0058,272a619e544f5ee148d5d2b76128cc48964de856,proto,kink_bridge,11,9,11,0,[]
T_0064,5549128e516d90e03b8532a497908bfe4f5f4adf,proto,kink_bridge,11,9,11,0,[]
T_0066,2418e039bc31d4b6ac474a7ea686978c57897bfa,proto,kink_bridge,11,9,11,0,[]
T_0072,09e1acd847bbba4cd58ead9f42d50b8eb1d2028e,proto,bridge_fork,11,9,11,0,[]
T_0088,3fc098f54ef9581564316fde6da3e0e87a0a6991,proto,rail,11,9,11,0,[]
T_0094,2a648e573711b7975a5f8210daa79a60ba951958,proto,kink_bridge,11,9,11,0,[]
T_0096,eb13bd79bacdb9fd3cc909559248f2b4b77c676d,proto,adjacent,11,9,11,0,[]
T_0046,4f026ef72d990d662db51719257bbc846d74c521,proto,kink_bridge,10,8,10,0,[]
T_0048,9f2646115ca2da2b16aba196e14928fdd495c04a,proto,bridge_fork,10,8,10,0,[]
