template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint
T_0001,E000000031,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[2,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-3,4],[-2,3],[-1,2]],[[-2,0],[2,0],[3,0]],[[-2,3],[-1,2],[3,-2]],[[-1,2],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]],[[3,-2],[4,-3],[5,-4]]]",3,0,8,12,"(-2, 0)",rail,rail_ladder,three-axis,89187fdcaafa3ae2a058236b301af35da2ed41fe,3,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-5.829e-16,1.169e-15,1.326,1.326,3,3,4.346,4.346","{""selfplay"":3}",1,0.0,1.386294,candidate-signal,"(4, 2, 8, 12, 0, 0, 8, 1)"
T_0002,E000000035,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[-1,2],[0,1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,5],[-3,4],[-2,3]],[[-3,0],[-2,0],[2,0]],[[-3,4],[-2,3],[2,-1]],[[-2,0],[2,0],[3,0]],[[-2,3],[2,-1],[3,-2]],[[2,-1],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]]]",3,0,8,12,"(-1, 0)",adjacent,adjacent,three-axis,a0c7cde98332ebffa3ad47f947205a4badf9588b,3,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-3.82e-16,1.502e-16,1.326,1.326,3,3,4.346,4.346","{""selfplay"":3}",1,0.0,1.386294,candidate-signal,"(4, 2, 8, 12, 0, 0, 8, 1)"
T_0003,E000000036,proto,3,1,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[3,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-2,0],[2,0],[3,0]],[[-2,3],[-1,2],[2,-1]],[[-1,2],[2,-1],[4,-3]],[[2,-1],[4,-3],[5,-4]],[[2,0],[3,0],[4,0]]]",3,0,7,11,"(-3, 0)",rail,rail_ladder,three-axis,aa3f69646c2e2684aa65397b6b7f8d00bc8da5a7,3,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"4.835e-16,1.6e-15,1.326,1.697,3,3.209,4.346,5.303","{""selfplay"":3}",1,0.0,1.386294,candidate-signal,"(3, 1, 7, 11, 0, 0, 7, 1)"
T_0004,E000000042,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[1,-1],[2,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-3,3],[-2,2],[-1,1]],[[-2,0],[2,0],[3,0]],[[-2,2],[-1,1],[3,-3]],[[-1,1],[3,-3],[4,-4]],[[2,0],[3,0],[4,0]],[[3,-3],[4,-4],[5,-5]]]",3,0,8,12,"(-1, 0)",adjacent,adjacent,three-axis,d95eb706b290b4fef8999b8140184e83517151fb,2,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-5.829e-16,1.169e-15,1.326,1.326,3,3,4.346,4.346","{""selfplay"":2}",1,0.0,1.098612,candidate-signal,"(4, 2, 8, 12, 0, 0, 8, 1)"
T_0005,E000000044,proto,3,1,0,"[[-1,0],[0,0],[1,0]]",[],"[[-2,2],[1,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,4],[-3,3],[-1,1]],[[-3,0],[-2,0],[2,0]],[[-3,3],[-1,1],[2,-2]],[[-2,0],[2,0],[3,0]],[[-1,1],[2,-2],[3,-3]],[[2,0],[3,0],[4,0]]]",3,0,7,11,"(-3, 0)",rail,rail_ladder,three-axis,248f397ce63fa11d36ffa2ceea00e4456eee1ef1,2,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"-4.806e-16,1.927e-16,1.326,1.697,3,3.209,4.346,5.303","{""selfplay"":2}",1,0.0,1.098612,candidate-signal,"(3, 1, 7, 11, 0, 0, 7, 1)"
T_0053,E000000060,proto,14,12,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[2,0]]","[[[-4,0]],[[3,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,2],[-4,1],[0,-3]],[[-5,3],[-4,2],[-3,1]],[[-4,-2],[-3,-2],[1,-2]],[[-4,-1],[-3,-1],[1,-1]],[[-4,1],[0,-3],[1,-4]],[[-4,2],[-3,1],[1,-3]],[[-3,-2],[1,-2],[2,-2]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,-4],[-1,-3],[-1,1]],[[-1,-3],[-1,1],[-1,2]],[[-1,1],[-1,2],[-1,3]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]],[[1,-1],[2,-1],[3,-1]]]",10,1,27,40,"(-5, 2)",kink,kink_bridge,three-axis,a84c6aaaee678ea91972a7396190b0089270140e,1,1,40,27,"{""1"":2,""3"":25}",2,0,14,-1,0.1111111111111111,"-1.363e-15,-7.052e-16,-6.084e-16,0,2.265e-16,1.371e-15,2.598e-15,2.731e-15","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 27, 40, 2, 0, 25, 1)"
T_0047,E000000054,proto,11,9,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-2,1],[2,0]]","[[[-4,0]],[[3,0]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-4,-1],[-3,-1],[1,-1]],[[-4,2],[-3,1],[1,-3]],[[-4,3],[-3,2],[1,-2]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-3,2],[1,-2],[2,-3]],[[-2,-2],[-2,2],[-2,3]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",9,1,20,30,"(-4, 1)",kink,kink_bridge,three-axis,496c2286c20417d2a54501ce5f2d300c2fab0f03,1,1,30,20,"{""1"":2,""3"":18}",2,0,11,-1,0.11052631578947368,"-2.205e-15,-2.357e-16,0,6.439e-16,1.332e-15,2.797e-15,3.215e-15,1.326","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 20, 30, 2, 0, 18, 1)"
T_0061,E000000068,proto,11,9,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-2,1],[1,-1]]","[[[-5,0]],[[2,0]],[[-4,-1],[-3,-1]],[[-3,-1],[2,-1]],[[2,-1],[3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-4,2],[-3,1],[1,-3]],[[-4,3],[-3,2],[1,-2]],[[-3,1],[1,-3],[2,-4]],[[-3,2],[1,-2],[2,-3]],[[-2,-2],[-2,2],[-2,3]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]]]",10,1,19,28,"(-3, 1)",kink,kink_bridge,three-axis,b3dc25dfb12b935e5effccb05da4e365325918cf,1,1,28,19,"{""1"":2,""2"":3,""3"":14}",2,3,11,-1,0.10526315789473684,"-1.017e-15,-7.704e-16,-2.902e-16,0,1.187e-17,7.069e-16,8.173e-16,0.5858","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 19, 28, 2, 3, 14, 1)"
T_0067,E000000074,proto,11,9,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,1],[2,0]]","[[[-4,0]],[[3,0]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-4,-1],[-3,-1],[1,-1]],[[-4,2],[-3,1],[1,-3]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-2,1],[-2,2],[-2,3]],[[-1,-4],[-1,-3],[-1,-2]],[[-1,-3],[-1,-2],[-1,2]],[[-1,-2],[-1,2],[-1,3]],[[-1,2],[-1,3],[-1,4]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-1],[2,-1],[3,-1]]]",10,1,19,29,"(-3, 1)",kink,kink_bridge,three-axis,eb2828156ddee73a565f208636aa6f5f16cdc0ba,1,1,29,19,"{""1"":2,""3"":17}",2,0,11,-1,0.11695906432748537,"-8.739e-16,-2.697e-16,0,3.92e-16,7.19e-16,8.188e-16,1.041e-15,1.326","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 19, 29, 2, 0, 17, 1)"
T_0069,E000000076,proto,11,9,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[1,-2],[2,0]]","[[[-4,0]],[[3,0]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-4,-2],[-3,-2],[-1,-2]],[[-4,-1],[-3,-1],[1,-1]],[[-4,2],[-3,1],[1,-3]],[[-4,3],[-3,2],[-2,1]],[[-3,-2],[-1,-2],[2,-2]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-3,2],[-2,1],[2,-3]],[[-2,1],[-2,2],[-2,3]],[[-2,1],[2,-3],[3,-4]],[[-1,-2],[2,-2],[3,-2]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-1],[2,-1],[3,-1]],[[2,-3],[3,-4],[4,-5]]]",10,1,22,33,"(-3, 1)",kink,kink_bridge,three-axis,35573e60e53ecf855bc14c09cdfb8136325be11b,1,1,33,22,"{""1"":2,""3"":20}",2,0,11,-1,0.11255411255411256,"-1.978e-15,-1.038e-15,-2.86e-16,-1.371e-16,0,2.378e-16,3.122e-15,0.9533","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 22, 33, 2, 0, 20, 1)"
