template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint
T_0001,E000000028,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[2,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-3,4],[-2,3],[-1,2]],[[-2,0],[2,0],[3,0]],[[-2,3],[-1,2],[3,-2]],[[-1,2],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]],[[3,-2],[4,-3],[5,-4]]]",3,0,8,12,"(-2, 0)",rail,rail_ladder,three-axis,89187fdcaafa3ae2a058236b301af35da2ed41fe,3,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-5.829e-16,1.169e-15,1.326,1.326,3,3,4.346,4.346","{""selfplay"":3}",1,0.0,1.386294,candidate-signal,"(4, 2, 8, 12, 0, 0, 8, 1)"
T_0002,E000000032,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[-1,2],[0,1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,5],[-3,4],[-2,3]],[[-3,0],[-2,0],[2,0]],[[-3,4],[-2,3],[2,-1]],[[-2,0],[2,0],[3,0]],[[-2,3],[2,-1],[3,-2]],[[2,-1],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]]]",3,0,8,12,"(-1, 0)",adjacent,adjacent,three-axis,a0c7cde98332ebffa3ad47f947205a4badf9588b,2,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-3.82e-16,1.502e-16,1.326,1.326,3,3,4.346,4.346","{""selfplay"":2}",1,0.0,1.098612,candidate-signal,"(4, 2, 8, 12, 0, 0, 8, 1)"
T_0003,E000000033,proto,3,1,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[3,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-2,0],[2,0],[3,0]],[[-2,3],[-1,2],[2,-1]],[[-1,2],[2,-1],[4,-3]],[[2,-1],[4,-3],[5,-4]],[[2,0],[3,0],[4,0]]]",3,0,7,11,"(-3, 0)",rail,rail_ladder,three-axis,aa3f69646c2e2684aa65397b6b7f8d00bc8da5a7,2,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"4.835e-16,1.6e-15,1.326,1.697,3,3.209,4.346,5.303","{""selfplay"":2}",1,0.0,1.098612,candidate-signal,"(3, 1, 7, 11, 0, 0, 7, 1)"
T_0004,E000000161,proto,3,1,0,"[[-2,0],[-1,0],[0,2]]",[],"[[0,-1],[0,0]]","[[[-5,0],[-4,0],[-3,0]],[[-4,0],[-3,0],[1,0]],[[-3,0],[1,0],[2,0]],[[0,-3],[0,-2],[0,1]],[[0,-2],[0,1],[0,3]],[[0,1],[0,3],[0,4]],[[1,0],[2,0],[3,0]]]",3,0,7,11,"(-1, 0)",adjacent,adjacent,three-axis,2a690863c40ade51b17f391246258ab6a3d51865,2,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"4.716e-16,1.158e-15,1.326,1.697,3,3.209,4.346,5.303","{""random"":2}",1,0.0,1.098612,candidate-signal,"(3, 1, 7, 11, 0, 0, 7, 1)"
T_0005,E000000229,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[-2,-1],[2,-1]]","[[[-3,-1],[-1,-1],[0,-1]],[[-3,4],[-2,3],[-1,2]],[[-2,3],[-1,2],[3,-2]],[[-1,-1],[0,-1],[3,-1]],[[-1,2],[3,-2],[4,-3]],[[3,-2],[4,-3],[5,-4]]]",3,0,6,10,"(-4, 0)",rail,rail_ladder,three-axis,2994a9829470f90c8fe6fd2cda2577c91908790d,2,1,10,6,"{""3"":6}",0,0,3,12,0.4,"-2.186e-16,-5.498e-17,1.326,2,3,4,4.346,6","{""opening"":2}",1,0.0,1.098612,candidate-signal,"(3, 1, 6, 10, 0, 0, 6, 1)"
T_0078,E000000079,proto,15,13,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-2,1],[-1,-2]]","[[[-5,0]],[[2,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,2],[-4,1],[0,-3]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-4,-1],[-3,-1],[1,-1]],[[-4,1],[0,-3],[1,-4]],[[-4,2],[-3,1],[1,-3]],[[-4,3],[-3,2],[1,-2]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-3,2],[1,-2],[2,-3]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,-3],[-2,-2],[-2,2]],[[-2,-2],[-2,2],[-2,3]],[[-2,2],[-2,3],[-2,4]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,-4],[-1,-3],[-1,1]],[[-1,-3],[-1,1],[-1,2]],[[-1,1],[-1,2],[-1,3]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",10,0,30,43,"(-3, 1)",kink,kink_bridge,three-axis,91c46fe0d5bc75096aa2a08b27ab15356be67ac5,1,1,43,30,"{""1"":2,""3"":28}",2,0,15,-1,0.10114942528735632,"-3.162e-15,-1.878e-15,-5.788e-16,-4.701e-17,3.409e-17,4.859e-16,7.44e-16,9.269e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(15, 13, 30, 43, 2, 0, 28, 1)"
T_0050,E000000051,proto,14,12,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[2,0]]","[[[-4,0]],[[3,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,2],[-4,1],[0,-3]],[[-5,3],[-4,2],[-3,1]],[[-4,-2],[-3,-2],[1,-2]],[[-4,-1],[-3,-1],[1,-1]],[[-4,1],[0,-3],[1,-4]],[[-4,2],[-3,1],[1,-3]],[[-3,-2],[1,-2],[2,-2]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,-4],[-1,-3],[-1,1]],[[-1,-3],[-1,1],[-1,2]],[[-1,1],[-1,2],[-1,3]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]],[[1,-1],[2,-1],[3,-1]]]",10,1,27,40,"(-5, 2)",kink,kink_bridge,three-axis,a84c6aaaee678ea91972a7396190b0089270140e,1,1,40,27,"{""1"":2,""3"":25}",2,0,14,-1,0.1111111111111111,"-1.363e-15,-7.052e-16,-6.084e-16,0,2.265e-16,1.371e-15,2.598e-15,2.731e-15","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 27, 40, 2, 0, 25, 1)"
T_0074,E000000075,proto,14,12,1,"[[-4,0],[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[1,-1]]","[[[-5,0]],[[2,0]],[[-4,-1],[-3,-1]],[[-3,-1],[2,-1]],[[2,-1],[3,-1]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,2],[-4,1],[0,-3]],[[-5,3],[-4,2],[-3,1]],[[-4,-2],[-3,-2],[1,-2]],[[-4,1],[0,-3],[1,-4]],[[-4,2],[-3,1],[1,-3]],[[-3,-2],[1,-2],[2,-2]],[[-3,1],[1,-3],[2,-4]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,-4],[-1,-3],[-1,1]],[[-1,-3],[-1,1],[-1,2]],[[-1,1],[-1,2],[-1,3]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]]]",11,1,26,38,"(-3, 1)",kink,kink_bridge,three-axis,d925da4e6a9276d78886c04d2f7eaec45abd50f6,1,1,38,26,"{""1"":2,""2"":3,""3"":21}",2,3,14,-1,0.11076923076923077,"-2.193e-15,-5.003e-16,-5.792e-17,-1.215e-17,3.699e-17,2.382e-16,8.883e-16,3.13e-15","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 26, 38, 2, 3, 21, 1)"
T_0070,E000000071,proto,12,10,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-3,-1],[-2,1]]","[[[-5,0]],[[2,0]],[[-5,-1],[-4,-1]],[[-4,-1],[1,-1]],[[1,-1],[2,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-4,2],[-3,1],[1,-3]],[[-4,3],[-3,2],[1,-2]],[[-3,1],[1,-3],[2,-4]],[[-3,2],[1,-2],[2,-3]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,-3],[-2,-2],[-2,2]],[[-2,-2],[-2,2],[-2,3]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]]]",10,0,21,30,"(-3, 1)",kink,kink_bridge,three-axis,a77421c928d6bfb42e153d38f7d52e2ec38e260b,1,1,30,21,"{""1"":2,""2"":3,""3"":16}",2,3,12,-1,0.10476190476190476,"-3.593e-16,-9.103e-17,-3.763e-21,0,5.045e-17,3.87e-16,9.063e-16,0.5858","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(12, 10, 21, 30, 2, 3, 16, 1)"
T_0076,E000000077,proto,12,10,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-2,1],[0,1]]","[[[-5,0]],[[2,0]],[[0,-4],[0,-3]],[[0,-3],[0,2]],[[0,2],[0,3]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-4,-1],[-3,-1],[1,-1]],[[-4,2],[-3,1],[1,-3]],[[-4,3],[-3,2],[1,-2]],[[-3,-1],[1,-1],[2,-1]],[[-3,1],[1,-3],[2,-4]],[[-3,2],[1,-2],[2,-3]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,-3],[-2,-2],[-2,2]],[[-2,-2],[-2,2],[-2,3]],[[-2,2],[-2,3],[-2,4]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",10,0,21,30,"(-2, 0)",rail,rail_ladder,three-axis,cb3b55d701dd503f3f3db76d2129ca4b7079b424,1,1,30,21,"{""1"":2,""2"":3,""3"":16}",2,3,12,-1,0.10476190476190476,"-1.798e-15,-1.715e-15,-8.605e-16,-5.292e-16,-1.112e-16,7.774e-16,1.372e-15,0.5858","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(12, 10, 21, 30, 2, 3, 16, 1)"
