template_id,canonical_signature,abstract_incidence_signature,kind,family,tau,pressure,num_obligations,is_abstract_atom,contained_abstract_atom_count,contained_abstract_atoms
T_0001,2a430e490927cc5e285900db0baf1ee232b04da5,21efb3da5188037434fc954641ee85b3db0396e9,proto,rail_ladder,4,2,4,0,0,[]
T_0002,9c1e6f2a3a0dd688a13d567d94dc42d0d49f7150,c7eb3b621de0ee9890e15800185ad7ae4d8039f1,proto,adjacent,4,2,4,0,0,[]
T_0003,7535cc79660de82b75a14f294925c232737a7a4e,a67063eeea2486a8d51f6cb0a2c311d359586e72,proto,rail_ladder,3,1,3,0,0,[]
T_0078,00a30e695aa5483600aa4e0055d1f568fd752370,fba1795049d20d001015e0ea3f24febffb14b056,proto,kink_bridge,15,13,15,0,3,"[""T_0087"",""T_0120"",""T_0253""]"
T_0050,87ace0e6ea2e7a5e10fd27521d22f446c6ca543e,bfcc14b5618695fcfc9b4f8dafa1adcba5914527,proto,kink_bridge,14,12,14,0,4,"[""T_0087"",""T_0114"",""T_0120"",""T_0253""]"
T_0074,06bc68f756ab02f1a93133496fbe532202852b59,b9fa4e0f06158ee4bf3b909c55fdb9f5f37b062d,proto,kink_bridge,14,12,14,0,4,"[""T_0087"",""T_0114"",""T_0120"",""T_0253""]"
T_0070,db84e1589f91eb9d505009ae1390ebc366f62780,5d56cafe9bc7c271c48194f87235f67b77a3aa0e,proto,kink_bridge,12,10,12,0,3,"[""T_0087"",""T_0120"",""T_0253""]"
T_0076,9f4212132dadfba18a80565709fbdaffe27cb163,3d2f489d8e4b41890316619bcd571e1eb1404bee,proto,rail_ladder,12,10,12,0,3,"[""T_0087"",""T_0120"",""T_0253""]"
T_0044,72029f15fc36e45d0ebac64ba54c3737ce6f11c9,72b433ed5503c6595beb79cf6c9be6ebc11e7cb4,proto,kink_bridge,11,9,11,0,4,"[""T_0087"",""T_0114"",""T_0120"",""T_0253""]"
T_0058,272a619e544f5ee148d5d2b76128cc48964de856,6ceed28760e7acda92edfef1afd0ad3d2b5899bf,proto,kink_bridge,11,9,11,0,4,"[""T_0087"",""T_0114"",""T_0120"",""T_0253""]"
T_0064,5549128e516d90e03b8532a497908bfe4f5f4adf,29be08bfb358480d85f4e2df68b4d77e5e9bc665,proto,kink_bridge,11,9,11,0,4,"[""T_0087"",""T_0114"",""T_0120"",""T_0253""]"
